PurchaseAmountUSD,NumberofEngagements,SubscriptionDuration,
0.00,14,182,
39.00,80,92,
0.00,78,365,
0.00,38,92,
0.00,152,92,
38.34,50,92,
79.00,37,113,
38.40,78,92,
43.16,44,97,
0.00,23,350,
0.00,153,366,
35.97,20,96,
13.65,286,427,
143.76,8,730,
0.00,13,182,
199.00,29,28771,
100.19,263,564,
0.00,126,183,
13.91,246,366,
39.50,78,91,
0.00,59,29136,
0.00,82,365,
0.00,347,460,
0.00,199,330,
65.94,363,286,
22.63,185,365,
35.97,5,91,
9.54,37,731,
199.00,20,28775,
0.00,92,28767,
0.00,366,102,
35.97,48,95,
0.00,100,182,
0.00,14,91,
0.00,42,366,
0.00,217,182,
35.97,1,274,
0.00,33,140,
38.89,21,94,
39.00,117,95,
0.00,276,369,
0.00,127,91,
0.00,21,641,
0.00,114,365,
0.00,19,68,
0.00,793,28767,
0.00,11,182,
51.46,63,183,
0.00,369,40,
0.00,84,92,
0.00,1,28777,
0.00,83,295,
0.00,51,274,
0.00,212,373,
199.00,5,28789,
37.54,9,181,
0.00,23,29083,
0.00,35,92,
65.94,238,184,
0.00,82,274,
15.25,88,731,
0.00,239,369,
61.75,99,274,
42.88,90,90,
34.64,1,91,
0.00,75,309,
0.00,106,78,
0.00,19,274,
0.00,88,182,
0.00,496,823,
0.00,21,365,
0.00,9,92,
119.00,58,185,
54.15,20,92,
0.00,143,274,
0.00,79,28781,
0.00,29,92,
143.76,62,94,
0.00,1,89,
0.00,61,183,
79.00,48,188,
0.00,65,183,
0.00,16,324,
0.00,179,28770,
0.00,13,368,
0.00,80,366,
0.00,80,92,
71.63,54,183,
0.00,96,167,
35.97,32,274,
0.00,782,135,
138.63,23,28814,
0.00,37,229,
199.00,1,28802,
35.97,99,277,
79.00,217,209,
0.00,295,731,
0.00,12,368,
143.76,141,731,
0.00,12,331,
0.00,65,288,
0.00,334,185,
189.00,22,28791,
0.00,5,365,
0.00,7,182,
0.00,74,152,
48.68,190,187,
70.29,52,743,
216.11,280,28783,
0.00,84,184,
35.97,53,91,
218.90,31,28799,
0.00,8,92,
0.00,35,366,
68.15,5,190,
0.00,425,28770,
37.77,222,278,
0.00,53,181,
0.00,4,368,
0.00,47,182,
189.00,159,28798,
0.00,8,365,
58.41,34,183,
112.17,297,366,
0.00,23,90,
0.00,402,170,
0.00,43,457,
0.00,15,365,
199.00,22,28780,
0.00,4,32,
261.44,38,730,
0.00,49,51,
0.00,36,260,
79.00,65,275,
0.00,202,156,
0.00,86,456,
39.00,32,95,
38.13,1,91,
0.00,43,183,
26.80,12,96,
0.00,744,683,
0.00,19,350,
0.00,85,92,
0.00,286,196,
0.00,264,92,
0.00,149,29180,
0.00,57,29217,
0.00,170,183,
0.00,23,368,
9.54,165,731,
0.00,6,92,
0.00,15,91,
13.65,7,487,
79.00,96,275,
189.00,16,28802,
37.77,44,92,
212.43,1,28793,
0.00,57,182,
97.36,92,366,
0.00,10,338,
0.00,10,338,
35.97,100,369,
35.97,49,94,
118.14,21,184,
0.00,25,106,
131.27,116,731,
99.00,26,365,
0.00,277,365,
53.60,44,182,
119.00,25,548,
0.00,257,183,
0.00,26,182,
0.00,45,183,
38.81,79,92,
91.00,1,182,
0.00,180,330,
58.41,156,480,
0.00,60,337,
0.00,295,183,
38.25,112,91,
0.00,420,29139,
81.50,154,184,
0.00,193,365,
0.00,102,115,
119.00,194,366,
0.00,27,91,
0.00,49,182,
0.00,287,55,
0.00,324,274,
0.00,224,281,
0.00,1,30,
195.56,27,28881,
0.00,705,28776,
0.00,58,182,
0.00,421,310,
169.00,11,731,
48.68,75,185,
35.97,29,90,
0.00,44,366,
0.00,26,92,
0.00,726,313,
35.97,32,107,
10.45,279,731,
0.00,142,274,
0.00,7,275,
69.76,113,182,
0.00,58,288,
0.00,14,92,
65.94,59,505,
0.00,106,357,
189.00,37,28841,
0.00,84,731,
39.00,73,95,
0.00,7,103,
0.00,76,332,
64.54,66,182,
0.00,157,365,
38.13,28,92,
0.00,266,365,
189.00,21,28805,
0.00,638,28774,
42.66,97,96,
116.01,139,365,
0.00,104,90,
35.97,19,277,
0.00,301,366,
0.00,27,365,
41.46,89,91,
0.00,473,110,
0.00,12,303,
0.00,25,182,
0.00,221,185,
0.00,169,358,
0.00,17,365,
199.00,12,28792,
189.00,101,28794,
0.00,140,165,
0.00,27,183,
0.00,151,368,
0.00,7,182,
0.00,53,289,
199.00,11,28802,
0.00,40,182,
249.54,18,28888,
0.00,24,350,
0.00,84,28946,
0.00,211,184,
49.40,59,91,
0.00,171,547,
0.00,108,369,
35.97,21,182,
10.45,1,731,
0.00,38,91,
207.90,20,366,
65.94,36,396,
0.00,27,317,
162.99,462,28952,
69.50,63,191,
0.00,40,183,
49.15,142,191,
35.97,41,458,
0.00,51,92,
21.44,13,92,
0.00,182,90,
0.00,186,305,
0.00,6,368,
35.97,47,92,
0.00,114,29082,
15.25,366,731,
0.00,515,366,
189.00,63,28805,
0.00,39,274,
61.75,34,92,
0.00,310,298,
0.00,54,295,
39.00,54,209,
49.40,1,92,
79.00,240,183,
0.00,27,365,
0.00,10,343,
0.00,176,220,
119.00,15,547,
0.00,34,366,
250.80,161,28950,
199.00,46,28779,
58.41,20,182,
0.00,28,456,
0.00,166,270,
0.00,8,90,
0.00,166,310,
0.00,109,343,
0.00,27,289,
0.00,75,91,
0.00,192,188,
0.00,85,289,
0.00,664,317,
65.94,145,184,
0.00,65,218,
119.00,86,366,
0.00,24,365,
0.00,97,317,
0.00,73,527,
0.00,181,402,
118.14,37,185,
0.00,142,297,
65.94,380,185,
19.99,117,213,
35.97,16,182,
75.81,11,92,
0.00,26,731,
79.00,87,455,
0.00,21,92,
0.00,9,369,
0.00,88,28771,
8.41,445,550,
0.00,207,206,
35.97,41,94,
0.00,639,331,
143.76,17,730,
0.00,115,28783,
0.00,294,282,
0.00,185,92,
103.37,131,373,
52.55,713,29228,
53.60,131,182,
35.97,24,182,
35.97,24,182,
0.00,454,289,
42.46,19,185,
0.00,58,183,
0.00,687,397,
0.00,109,731,
45.94,47,126,
35.97,443,277,
0.00,46,282,
35.97,154,181,
199.00,45,29175,
0.00,77,274,
0.00,57,365,
0.00,312,366,
0.00,47,182,
0.00,115,182,
0.00,226,182,
0.00,16,92,
26.80,83,92,
35.97,15,274,
35.97,48,183,
0.00,24,28782,
35.97,14,98,
0.00,70,281,
0.00,138,184,
0.00,55,370,
35.97,152,182,
0.00,22,781,
35.97,54,274,
33.40,591,549,
79.15,1,374,
35.97,15,92,
0.00,31,100,
0.00,21,369,
0.00,1,368,
0.00,222,184,
78.00,382,486,
